nic,antenna,ssid,distance,timestamp,rssi
mt7610,0,senic-sandbox,0,1493905149,-43
mt7610,0,senic-sandbox,0,1493905150,-43
mt7610,0,senic-sandbox,0,1493905151,-45
mt7610,0,senic-sandbox,0,1493905152,-43
mt7610,0,senic-sandbox,0,1493905153,-45
mt7610,0,senic-sandbox,0,1493905154,-43
mt7610,0,senic-sandbox,0,1493905155,-45
mt7610,0,senic-sandbox,0,1493905156,-43
mt7610,0,senic-sandbox,0,1493905157,-43
mt7610,0,senic-sandbox,0,1493905158,-45
mt7610,0,senic-sandbox,0,1493905159,-43
mt7610,0,senic-sandbox,0,1493905160,-33
mt7610,0,senic-sandbox,0,1493905161,-33
mt7610,0,senic-sandbox,0,1493905162,-45
mt7610,0,senic-sandbox,0,1493905164,-43
mt7610,0,senic-sandbox,0,1493905165,-45
mt7610,0,senic-sandbox,0,1493905166,-45
mt7610,0,senic-sandbox,0,1493905167,-45
mt7610,0,senic-sandbox,0,1493905168,-45
mt7610,0,senic-sandbox,0,1493905169,-43
mt7610,0,senic-sandbox,0,1493905170,-43
mt7610,0,senic-sandbox,1,1493905372,-39
mt7610,0,senic-sandbox,1,1493905373,-39
mt7610,0,senic-sandbox,1,1493905374,-43
mt7610,0,senic-sandbox,1,1493905375,-39
mt7610,0,senic-sandbox,1,1493905376,-43
mt7610,0,senic-sandbox,1,1493905377,-39
mt7610,0,senic-sandbox,1,1493905378,-45
mt7610,0,senic-sandbox,1,1493905379,-43
mt7610,0,senic-sandbox,1,1493905380,-39
mt7610,0,senic-sandbox,1,1493905381,-41
mt7610,0,senic-sandbox,1,1493905382,-39
mt7610,0,senic-sandbox,1,1493905383,-39
mt7610,0,senic-sandbox,1,1493905384,-39
mt7610,0,senic-sandbox,1,1493905385,-39
mt7610,0,senic-sandbox,1,1493905387,-39
mt7610,0,senic-sandbox,1,1493905388,-39
mt7610,0,senic-sandbox,1,1493905389,-39
mt7610,0,senic-sandbox,1,1493905390,-39
mt7610,0,senic-sandbox,1,1493905391,-39
mt7610,0,senic-sandbox,1,1493905392,-39
mt7610,0,senic-sandbox,1,1493905393,-39
mt7610,0,senic-sandbox,2,1493905634,-63
mt7610,0,senic-sandbox,2,1493905635,-67
mt7610,0,senic-sandbox,2,1493905636,-53
mt7610,0,senic-sandbox,2,1493905637,-53
mt7610,0,senic-sandbox,2,1493905638,-47
mt7610,0,senic-sandbox,2,1493905639,-53
mt7610,0,senic-sandbox,2,1493905641,-53
mt7610,0,senic-sandbox,2,1493905642,-49
mt7610,0,senic-sandbox,2,1493905643,-53
mt7610,0,senic-sandbox,2,1493905644,-49
mt7610,0,senic-sandbox,2,1493905645,-51
mt7610,0,senic-sandbox,2,1493905646,-47
mt7610,0,senic-sandbox,2,1493905647,-51
mt7610,0,senic-sandbox,2,1493905648,-51
mt7610,0,senic-sandbox,2,1493905649,-49
mt7610,0,senic-sandbox,2,1493905650,-49
mt7610,0,senic-sandbox,2,1493905651,-55
mt7610,0,senic-sandbox,2,1493905652,-49
mt7610,0,senic-sandbox,2,1493905653,-49
mt7610,0,senic-sandbox,2,1493905654,-47
mt7610,0,senic-sandbox,2,1493905655,-47
mt7610,0,senic-sandbox,3,1493905780,-49
mt7610,0,senic-sandbox,3,1493905781,-45
mt7610,0,senic-sandbox,3,1493905782,-49
mt7610,0,senic-sandbox,3,1493905783,-49
mt7610,0,senic-sandbox,3,1493905784,-45
mt7610,0,senic-sandbox,3,1493905785,-45
mt7610,0,senic-sandbox,3,1493905786,-47
mt7610,0,senic-sandbox,3,1493905787,-47
mt7610,0,senic-sandbox,3,1493905788,-45
mt7610,0,senic-sandbox,3,1493905789,-47
mt7610,0,senic-sandbox,3,1493905790,-47
mt7610,0,senic-sandbox,3,1493905791,-45
mt7610,0,senic-sandbox,3,1493905792,-47
mt7610,0,senic-sandbox,3,1493905793,-45
mt7610,0,senic-sandbox,3,1493905795,-49
mt7610,0,senic-sandbox,3,1493905796,-49
mt7610,0,senic-sandbox,3,1493905797,-47
mt7610,0,senic-sandbox,3,1493905798,-45
mt7610,0,senic-sandbox,3,1493905799,-49
mt7610,0,senic-sandbox,3,1493905800,-49
mt7610,0,senic-sandbox,3,1493905801,-47
mt7610,0,senic-sandbox,4,1493906077,-51
mt7610,0,senic-sandbox,4,1493906078,-53
mt7610,0,senic-sandbox,4,1493906079,-53
mt7610,0,senic-sandbox,4,1493906080,-55
mt7610,0,senic-sandbox,4,1493906081,-59
mt7610,0,senic-sandbox,4,1493906082,-55
mt7610,0,senic-sandbox,4,1493906084,-53
mt7610,0,senic-sandbox,4,1493906085,-51
mt7610,0,senic-sandbox,4,1493906086,-53
mt7610,0,senic-sandbox,4,1493906087,-57
mt7610,0,senic-sandbox,4,1493906088,-53
mt7610,0,senic-sandbox,4,1493906089,-61
mt7610,0,senic-sandbox,4,1493906090,-53
mt7610,0,senic-sandbox,4,1493906091,-51
mt7610,0,senic-sandbox,4,1493906092,-51
mt7610,0,senic-sandbox,4,1493906093,-55
mt7610,0,senic-sandbox,4,1493906094,-53
mt7610,0,senic-sandbox,4,1493906095,-53
mt7610,0,senic-sandbox,4,1493906096,-51
mt7610,0,senic-sandbox,4,1493906097,-51
mt7610,0,senic-sandbox,4,1493906098,-55
mt7610,0,senic-sandbox,5,1493906295,-57
mt7610,0,senic-sandbox,5,1493906296,-65
mt7610,0,senic-sandbox,5,1493906297,-67
mt7610,0,senic-sandbox,5,1493906298,-55
mt7610,0,senic-sandbox,5,1493906299,-59
mt7610,0,senic-sandbox,5,1493906300,-63
mt7610,0,senic-sandbox,5,1493906301,-53
mt7610,0,senic-sandbox,5,1493906303,-55
mt7610,0,senic-sandbox,5,1493906304,-65
mt7610,0,senic-sandbox,5,1493906305,-59
mt7610,0,senic-sandbox,5,1493906306,-57
mt7610,0,senic-sandbox,5,1493906307,-59
mt7610,0,senic-sandbox,5,1493906308,-55
mt7610,0,senic-sandbox,5,1493906309,-57
mt7610,0,senic-sandbox,5,1493906310,-57
mt7610,0,senic-sandbox,5,1493906311,-55
mt7610,0,senic-sandbox,5,1493906312,-57
mt7610,0,senic-sandbox,5,1493906313,-83
mt7610,0,senic-sandbox,5,1493906314,-57
mt7610,0,senic-sandbox,5,1493906315,-61
mt7610,0,senic-sandbox,5,1493906316,-61
mt7610,0,senic-sandbox,6,1493906876,-49
mt7610,0,senic-sandbox,6,1493906877,-49
mt7610,0,senic-sandbox,6,1493906878,-51
mt7610,0,senic-sandbox,6,1493906880,-49
mt7610,0,senic-sandbox,6,1493906881,-49
mt7610,0,senic-sandbox,6,1493906882,-49
mt7610,0,senic-sandbox,6,1493906883,-51
mt7610,0,senic-sandbox,6,1493906884,-49
mt7610,0,senic-sandbox,6,1493906885,-49
mt7610,0,senic-sandbox,6,1493906886,-47
mt7610,0,senic-sandbox,6,1493906887,-47
mt7610,0,senic-sandbox,6,1493906888,-49
mt7610,0,senic-sandbox,6,1493906889,-49
mt7610,0,senic-sandbox,6,1493906890,-47
mt7610,0,senic-sandbox,6,1493906891,-49
mt7610,0,senic-sandbox,6,1493906892,-47
mt7610,0,senic-sandbox,6,1493906893,-49
mt7610,0,senic-sandbox,6,1493906894,-47
mt7610,0,senic-sandbox,6,1493906895,-49
mt7610,0,senic-sandbox,6,1493906896,-49
mt7610,0,senic-sandbox,6,1493906897,-51
mt7610,0,senic-sandbox,7,1493907042,-57
mt7610,0,senic-sandbox,7,1493907043,-53
mt7610,0,senic-sandbox,7,1493907044,-53
mt7610,0,senic-sandbox,7,1493907045,-49
mt7610,0,senic-sandbox,7,1493907046,-53
mt7610,0,senic-sandbox,7,1493907047,-53
mt7610,0,senic-sandbox,7,1493907049,-49
mt7610,0,senic-sandbox,7,1493907050,-91
mt7610,0,senic-sandbox,7,1493907051,-59
mt7610,0,senic-sandbox,7,1493907052,-55
mt7610,0,senic-sandbox,7,1493907053,-55
mt7610,0,senic-sandbox,7,1493907054,-57
mt7610,0,senic-sandbox,7,1493907055,-57
mt7610,0,senic-sandbox,7,1493907056,-55
mt7610,0,senic-sandbox,7,1493907057,-59
mt7610,0,senic-sandbox,7,1493907058,-55
mt7610,0,senic-sandbox,7,1493907059,-53
mt7610,0,senic-sandbox,7,1493907060,-51
mt7610,0,senic-sandbox,7,1493907061,-53
mt7610,0,senic-sandbox,7,1493907062,-53
mt7610,0,senic-sandbox,7,1493907063,-53
mt7610,0,senic-sandbox,8,1493907337,-49
mt7610,0,senic-sandbox,8,1493907338,-47
mt7610,0,senic-sandbox,8,1493907339,-45
mt7610,0,senic-sandbox,8,1493907340,-49
mt7610,0,senic-sandbox,8,1493907341,-47
mt7610,0,senic-sandbox,8,1493907342,-47
mt7610,0,senic-sandbox,8,1493907343,-47
mt7610,0,senic-sandbox,8,1493907345,-47
mt7610,0,senic-sandbox,8,1493907346,-47
mt7610,0,senic-sandbox,8,1493907347,-47
mt7610,0,senic-sandbox,8,1493907348,-49
mt7610,0,senic-sandbox,8,1493907349,-47
mt7610,0,senic-sandbox,8,1493907350,-49
mt7610,0,senic-sandbox,8,1493907351,-47
mt7610,0,senic-sandbox,8,1493907352,-47
mt7610,0,senic-sandbox,8,1493907353,-49
mt7610,0,senic-sandbox,8,1493907354,-47
mt7610,0,senic-sandbox,8,1493907355,-49
mt7610,0,senic-sandbox,8,1493907356,-49
mt7610,0,senic-sandbox,8,1493907357,-47
mt7610,0,senic-sandbox,8,1493907358,-47
mt7610,0,senic-sandbox,9,1493907591,-55
mt7610,0,senic-sandbox,9,1493907592,-55
mt7610,0,senic-sandbox,9,1493907593,-57
mt7610,0,senic-sandbox,9,1493907594,-55
mt7610,0,senic-sandbox,9,1493907595,-57
mt7610,0,senic-sandbox,9,1493907596,-57
mt7610,0,senic-sandbox,9,1493907597,-55
mt7610,0,senic-sandbox,9,1493907598,-55
mt7610,0,senic-sandbox,9,1493907599,-57
mt7610,0,senic-sandbox,9,1493907600,-55
mt7610,0,senic-sandbox,9,1493907601,-57
mt7610,0,senic-sandbox,9,1493907602,-55
mt7610,0,senic-sandbox,9,1493907603,-59
mt7610,0,senic-sandbox,9,1493907604,-55
mt7610,0,senic-sandbox,9,1493907605,-59
mt7610,0,senic-sandbox,9,1493907606,-57
mt7610,0,senic-sandbox,9,1493907607,-53
mt7610,0,senic-sandbox,9,1493907608,-57
mt7610,0,senic-sandbox,9,1493907609,-55
mt7610,0,senic-sandbox,9,1493907610,-61
mt7610,0,senic-sandbox,9,1493907611,-55
mt7610,0,senic-sandbox,10,1493907982,-59
mt7610,0,senic-sandbox,10,1493907983,-59
mt7610,0,senic-sandbox,10,1493907984,-57
mt7610,0,senic-sandbox,10,1493907985,-59
mt7610,0,senic-sandbox,10,1493907986,-57
mt7610,0,senic-sandbox,10,1493907987,-61
mt7610,0,senic-sandbox,10,1493907988,-59
mt7610,0,senic-sandbox,10,1493907989,-65
mt7610,0,senic-sandbox,10,1493907990,-61
mt7610,0,senic-sandbox,10,1493907991,-61
mt7610,0,senic-sandbox,10,1493907992,-59
mt7610,0,senic-sandbox,10,1493907993,-59
mt7610,0,senic-sandbox,10,1493907994,-59
mt7610,0,senic-sandbox,10,1493907995,-63
mt7610,0,senic-sandbox,10,1493907996,-61
mt7610,0,senic-sandbox,10,1493907997,-63
mt7610,0,senic-sandbox,10,1493907998,-59
mt7610,0,senic-sandbox,10,1493907999,-59
mt7610,0,senic-sandbox,10,1493908000,-59
mt7610,0,senic-sandbox,10,1493908001,-59
mt7610,0,senic-sandbox,10,1493908003,-59
mt7610,0,senic-sandbox,11,1493908243,-63
mt7610,0,senic-sandbox,11,1493908244,-61
mt7610,0,senic-sandbox,11,1493908245,-63
mt7610,0,senic-sandbox,11,1493908246,-63
mt7610,0,senic-sandbox,11,1493908247,-67
mt7610,0,senic-sandbox,11,1493908248,-65
mt7610,0,senic-sandbox,11,1493908250,-69
mt7610,0,senic-sandbox,11,1493908251,-67
mt7610,0,senic-sandbox,11,1493908252,-67
mt7610,0,senic-sandbox,11,1493908253,-67
mt7610,0,senic-sandbox,11,1493908254,-65
mt7610,0,senic-sandbox,11,1493908255,-67
mt7610,0,senic-sandbox,11,1493908256,-67
mt7610,0,senic-sandbox,11,1493908257,-65
mt7610,0,senic-sandbox,11,1493908258,-67
mt7610,0,senic-sandbox,11,1493908259,-67
mt7610,0,senic-sandbox,11,1493908260,-67
mt7610,0,senic-sandbox,11,1493908261,-63
mt7610,0,senic-sandbox,11,1493908262,-65
mt7610,0,senic-sandbox,11,1493908263,-67
mt7610,0,senic-sandbox,11,1493908264,-65
mt7610,0,senic-sandbox,12,1493908420,-67
mt7610,0,senic-sandbox,12,1493908421,-67
mt7610,0,senic-sandbox,12,1493908422,-61
mt7610,0,senic-sandbox,12,1493908423,-63
mt7610,0,senic-sandbox,12,1493908425,-65
mt7610,0,senic-sandbox,12,1493908426,-63
mt7610,0,senic-sandbox,12,1493908427,-61
mt7610,0,senic-sandbox,12,1493908428,-65
mt7610,0,senic-sandbox,12,1493908429,-63
mt7610,0,senic-sandbox,12,1493908430,-65
mt7610,0,senic-sandbox,12,1493908431,-67
mt7610,0,senic-sandbox,12,1493908432,-63
mt7610,0,senic-sandbox,12,1493908433,-63
mt7610,0,senic-sandbox,12,1493908434,-63
mt7610,0,senic-sandbox,12,1493908435,-63
mt7610,0,senic-sandbox,12,1493908436,-65
mt7610,0,senic-sandbox,12,1493908437,-65
mt7610,0,senic-sandbox,12,1493908438,-63
mt7610,0,senic-sandbox,12,1493908439,-67
mt7610,0,senic-sandbox,12,1493908440,-65
mt7610,0,senic-sandbox,12,1493908441,-65
